match_id,time,player_A,player_B,score_1,score_2,score_3,competition,court,winner,odds_A,odds_B,last_updated,status,date,rank_A,rank_B,pts_A,pts_B,surface,series,round,season,winner_code
eaa3362928,17:00,Pujol Navarro B./Stevenson K.(ESP/CAN),Feldbausch K./Pacheco Mendez R.(SUI/MEX),6(9)-7,2-3,-,"ATP CH75 - Tunis, Tunisia",,None,,,2025-05-13 23:40,inplay,2025-05-13,,,,,Clay,"ATP CH75 - Tunis, Tunisia",,2025,None
69c9f526e6,11:30,Moeller Marvin(GER) [478],Hardt Nick(DOM) [462],2-6,7-5,3-3,"ITF M25 - Gurb, Spain",,None,,,2025-05-13 23:40,inplay,2025-05-13,,,,,Clay,"ITF M25 - Gurb, Spain",,2025,None
4ebf9ce5d7,08:00,Strombachs Robert(GER) [333],Pokorny Lukas(SVK) [418],6(5)-7,0-0,-,"ITF M25 - Tbilisi, Georgia",,None,,,2025-05-13 23:40,inplay,2025-05-13,,,,,Hard,"ITF M25 - Tbilisi, Georgia",,2025,None
03719677ce,08:00,Jones Maximus(THA) [425],Berankis Ricardas(LTU) [294],7-5,0-0,-,"ITF M25 - Tbilisi, Georgia",,None,,,2025-05-13 23:40,inplay,2025-05-13,,,,,Hard,"ITF M25 - Tbilisi, Georgia",,2025,None
ef2804dc52,08:00,Colson Tibo(BEL) [486],Arutiunian Erik(BLR) [500],1-1,-,-,"ITF M25 - Tbilisi, Georgia",,None,,,2025-05-13 23:40,inplay,2025-05-13,,,,,Hard,"ITF M25 - Tbilisi, Georgia",,2025,None
b6124f1c5f,02:21,Chaiyarin Credit(THA) [1295]6.46,Brown Preston(USA) [985]1.09,2-6,0-1,-,"ITF M25 - Xalapa, Mexico",nan,nan,6.46,1.09,2025-05-13 21:08,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF M25 - Xalapa, Mexico",nan,2025,nan
c8d0d7d8a7,15:00,Pridankina E./Strakhova V.(RUS/UKR),Burrage J./Sharma A.(GBR/AUS),7-6(0),1-3,-,"ITF W75 - Trnava, Slovakia",,None,,,2025-05-13 23:40,inplay,2025-05-13,,,,,Clay,"ITF W75 - Trnava, Slovakia",,2025,None
88c45cb5e1,03:00,Noguchi Sae (JPN)1.25,Wi Hwui(KOR) [1098]3.74,-,-,-,"ITF W15 - Toyama, Japan",nan,nan,1.25,3.74,2025-05-13 21:08,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
d064ddd72f,03:05,Defalco Jenna(USA) [653]1.02,Nishimoto Sera(JPN) [1274]11.5,0-0,-,-,"ITF W15 - Toyama, Japan",nan,nan,1.02,11.5,2025-05-13 21:08,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF W15 - Toyama, Japan",nan,2025,nan
dcbe142693,04:10,Rodriguez Taverna Santiago(ARG) [196]1.04,Ribero Franco(ARG) [792]9.03,6-3,0-0,-,"ITF M25 - Xalapa, Mexico",nan,nan,1.04,9.03,2025-05-13 22:57,inplay,2025-05-13,nan,nan,nan,nan,Hard,"ITF M25 - Xalapa, Mexico",nan,2025,nan
