event_key,date,time,player_A,player_B,odds_A,odds_B
12034188,2025-05-16,15:05,Belyaeva/ Cheishvili,Yuneva/ Yushchenko,,
12034279,2025-05-16,03:45,S. Rodriguez Taverna,P. Brown,1.05,9.0
12034293,2025-05-16,02:00,Aguilar/  Kumar,Hollender/ Meneo,,
12034349,2025-05-16,08:00,M. Damm,S. Purtseladze,1.73,2.25
12034350,2025-05-16,08:00,J. Monday,K. Uchida,1.11,7.54
12034351,2025-05-16,08:10,R. Peniston,P. Bar Biryukov,1.27,3.3
12034377,2025-05-16,13:30,K. Bataikina,V. Yushchenko,8.0,1.07
12034378,2025-05-16,13:45,K. Kroitor,K. D. Teso,,
12034379,2025-05-16,09:30,S. Ksandinov,M. Horvit,3.95,1.21
12034380,2025-05-16,09:30,E. Nepliy,M. Safi,1.13,5.5
12034381,2025-05-16,13:15,S. Shapatava,A. Tkachenko,1.04,9.0
12034387,2025-05-16,03:00,E. Koike,A. Koshiishi,1.55,2.3
12034426,2025-05-16,10:10,L. van Assche,F. Misolic,1.35,2.95
12034438,2025-05-16,10:15,Karol/ Paulson,Mikrut/ Poljicak,,
12034486,2025-05-16,08:00,D. Glinka,E. Arutiunian,1.59,2.5
12034514,2025-05-16,09:00,A. Kharchenko,K. Laskutova,6.5,1.14
12034528,2025-05-16,03:00,C. Wong Hong Yi,C. Muramatsu,,
12034545,2025-05-16,16:00,Malesevic/ Tadic,Kupcic/ Vetrih,,
12034557,2025-05-16,18:00,Bennetto/ Hu,Arakawa/ Giavara,,
12034562,2025-05-16,13:40,Andreozzi/ Arribage,Heliovaara/ Patten,,
12034563,2025-05-16,15:20,Doumbia/ Reboul,Krawietz/ Puetz,,
12034564,2025-05-16,13:40,Andreeva/ Shnaider,Errani/ Paolini,,
12034565,2025-05-16,17:10,M. Barreiros Reyes,P. Sakamoto,3.25,1.33
12034571,2025-05-16,18:45,J. Belgraver,A. Sasnovich,4.3,1.2
12034572,2025-05-16,11:10,E. Jacquemot,K. Boulter,2.22,1.62
12034573,2025-05-16,14:15,L. Broady,K. Edmund,1.61,2.28
12034574,2025-05-16,12:00,T. Compagnucci,F. Speziali,1.44,3.0
12034582,2025-05-16,23:05,Britto/ Kolar,Barreiros Reyes/ Sakamoto,,
12034597,2025-05-16,15:45,C. Alcaraz,L. Musetti,1.33,3.15
12034600,2025-05-16,17:10,P. Rodrigues,N. Alvarez Varona,2.95,1.39
12034604,2025-05-16,23:10,Aboian/ Casanova,Huertas Del Pino/ Huertas Del Pino Cordova,,
12034605,2025-05-16,00:25,G. Nanda,A. Azkara,1.2,4.5
12034608,2025-05-16,04:20,Aguilar Gasperin/ Echazu,Arseneault/ Nefve,,
12034611,2025-05-16,18:15,Corley/ Daniel,Bouzgarrou/ Hitt,,
12034612,2025-05-16,19:20,Rogers/ Smith,Akli/ Zamarripa,,
12034613,2025-05-16,18:15,Barrera Aguirre/ Zampardo,Moore/ Osborne,,
12034615,2025-05-16,19:50,Alves/ Lock,Rodriguez/ Roncadelli,,
12034616,2025-05-16,05:15,G. Voelzke,J. C. Prado Angelo,11.0,1.05
12034618,2025-05-16,00:05,E. Clark,A. F. Rubio Fierros,1.36,3.25
12034619,2025-05-16,03:40,R. Jauregui Sainz De Rozas,A. Mayo,12.0,1.05
12034620,2025-05-16,21:40,Soriano Barrera/ Tobon,Arias/ Zeballos,,
12034621,2025-05-16,02:45,Moreno/ Sanchez,Chaiyarin/ Noguchi,,
12034625,2025-05-16,07:05,P. M. Nugroho,J. Han,,
12034626,2025-05-16,04:10,A. Zhu,J. Wang,,
12034627,2025-05-16,03:00,Y. Kim,H. Kinoshita,,
12034628,2025-05-16,03:10,C. Y. Lee,Mushika Mio,,
12034629,2025-05-16,03:10,F. A. Lin,S. Noguchi,,
12034630,2025-05-16,03:10,M. Kobori,Z. Diyas,3.65,1.24
12034631,2025-05-16,03:00,M. Kuramochi,A. Ide,,
12034632,2025-05-16,03:10,A. Shimizu,G. da Silva Fick,1.27,3.4
12034634,2025-05-16,07:00,Brown/ Clark,Brown/ Ribero,,
12034635,2025-05-16,03:10,S. Imamura,M. Wang,1.52,2.37
12034636,2025-05-16,08:00,A. Amiraghyan,M. Laron,1.93,1.78
12034637,2025-05-16,12:00,D. Demidova,D. Astakhova,,
12034639,2025-05-16,10:10,A. Perez,O. Moraing,1.2,5.25
12034640,2025-05-16,10:30,K. Singh,B. Perez,,
12034641,2025-05-16,04:35,J. Defalco,M. Miyata,1.35,2.95
12034642,2025-05-16,07:15,Kim/ Lin,Kinoshita/ Kobayashi,,
12034643,2025-05-16,05:40,Lee/ Wi,Kitahara/ Ohashi,,
12034644,2025-05-16,08:35,D. Back,J. Tjen,5.5,1.17
12034645,2025-05-16,03:45,E. Reyngold,Y. Ku,,
12034646,2025-05-16,04:10,J. Cui,Y. Kikuchi,1.26,4.22
12034647,2025-05-16,04:25,T. Huang,W. Shin,2.44,1.57
12034648,2025-05-16,04:10,A. Wang,Ja. Delaney,2.57,1.5
12034649,2025-05-16,04:25,T. Yamanaka,D. Palan,2.1,1.78
12034650,2025-05-16,06:40,Ayukawa/ Kawamura,Ma/ Wang,,
12034651,2025-05-16,06:55,Kobori/ Shimizu,Kawaguchi/ Kuwata,,
12034652,2025-05-16,04:10,M. Guo,C. Zhu,,
12034653,2025-05-16,04:25,J. Lu,Y. Yang,,
12034654,2025-05-16,10:10,Dang/ Zhu,Wu Ho/ Yang,,
12034655,2025-05-16,09:00,Aixirefu/ Zhu,Sun/ Wang,,
12034657,2025-05-16,14:15,Rai/ Uchida,Chekhov/ Zaytsev,,
12034658,2025-05-16,09:30,Itonishvili/ Tkemaladze,Bakshi/ Pokorny,,
12034659,2025-05-16,10:40,B. Hassan,R. Hijikata,1.72,2.07
12034660,2025-05-16,17:10,F. Cobolli,D. Altmaier,1.65,2.18
